quarter,total_assets,filed,form
CY2009Q4,5252650000,2011-02-24,10-K
CY2010Q2,5219585000,2010-08-06,10-Q/A
CY2010Q3,5162148000,2010-11-04,10-Q
CY2010Q4,5143688000,2012-02-27,10-K
CY2011Q1,5283306000,2011-05-05,10-Q
CY2011Q2,5164988000,2011-08-04,10-Q
CY2011Q3,5554333000,2011-11-03,10-Q
CY2011Q4,5743298000,2013-02-26,10-K
CY2012Q1,5372087000,2012-05-08,10-Q
CY2012Q2,5246299000,2012-08-07,10-Q
CY2012Q3,5296855000,2012-11-05,10-Q
CY2012Q4,4444098000,2015-02-25,10-K
CY2013Q1,4797028000,2013-05-06,10-Q
CY2013Q2,5435412000,2013-08-08,10-Q
CY2013Q3,4659516000,2013-11-07,10-Q
CY2013Q4,4608528000,2015-02-25,10-K
CY2014Q1,5007111000,2014-05-06,10-Q
CY2014Q2,5378550000,2014-08-08,10-Q
CY2014Q3,5611768000,2014-11-07,10-Q
CY2014Q4,5918966000,2016-02-26,10-K
CY2015Q1,5816019000,2015-05-07,10-Q
CY2015Q2,5595884000,2015-08-07,10-Q
CY2015Q3,6269026000,2015-11-06,10-Q
CY2015Q4,6220047000,2017-02-24,10-K
CY2016Q1,5726880000,2016-05-09,10-Q
CY2016Q2,5897592000,2016-08-09,10-Q
CY2016Q3,5872619000,2016-11-08,10-Q
CY2016Q4,5483477000,2018-02-28,10-K
CY2017Q1,5214291000,2017-05-05,10-Q
CY2017Q2,5655482000,2017-08-04,10-Q
CY2017Q3,6130699000,2017-11-07,10-Q
CY2017Q4,7039822000,2019-03-01,10-K
CY2018Q1,6999573000,2018-05-08,10-Q
CY2018Q2,7512551000,2018-08-08,10-Q
CY2018Q3,9139635000,2018-11-08,10-Q
CY2018Q4,11937406000,2020-03-02,10-K
CY2019Q1,12193359000,2019-05-09,10-Q
CY2019Q2,13851586000,2019-08-08,10-Q
CY2019Q3,15476283000,2019-11-08,10-Q
CY2019Q4,17995440000,2021-02-26,10-K
CY2020Q1,12300790000,2020-05-15,10-Q
CY2020Q2,10361542000,2020-08-07,10-Q
CY2020Q3,10402412000,2020-11-06,10-Q
CY2020Q4,10355066000,2022-02-25,10-K
CY2021Q1,10896848000,2021-05-07,10-Q
CY2021Q2,11996391000,2021-08-04,10-Q
CY2021Q3,13072714000,2021-11-04,10-Q
CY2021Q4,14706944000,2023-03-01,10-K
CY2022Q1,14253292000,2022-05-06,10-Q
CY2022Q2,13875536000,2022-08-05,10-Q
CY2022Q3,13145947000,2022-11-07,10-Q
CY2022Q4,13030899000,2025-03-03,10-K
CY2023Q1,13121286000,2023-05-05,10-Q
CY2023Q2,12796734000,2023-08-07,10-Q
CY2023Q3,13021138000,2024-11-07,10-Q
CY2023Q4,14504327000,2026-02-27,10-K
CY2024Q1,15057974000,2025-05-09,10-Q
CY2024Q2,16491104000,2025-08-08,10-Q
CY2024Q3,18427426000,2025-11-07,10-Q
CY2024Q4,18258344000,2026-02-27,10-K
CY2025Q1,19871775000,2026-05-07,10-Q
CY2025Q2,21333020000,2025-08-08,10-Q
CY2025Q3,22600766000,2025-11-07,10-Q
CY2025Q4,23701114000,2026-05-07,10-Q
CY2026Q1,26815797000,2026-05-07,10-Q
