quarter,book_value_per_share,stockholders_equity,preferred_stock_value,shares_outstanding,filed,form
CY2009Q4,12.5,971721000,0,77737130,2012-02-27,10-K
CY2010Q2,12.71,990535000,0,77908439,2010-08-06,10-Q/A
CY2010Q3,13.02,1015672000,0,77984222,2010-11-04,10-Q
CY2010Q4,13.63,1064753000,0,78124668,2013-02-26,10-K
CY2011Q1,13.76,1074811000,0,78138724,2012-05-08,10-Q
CY2011Q2,13.04,1024510000,0,78554965,2011-11-03,10-Q
CY2011Q3,12.22,958945000,0,78494886,2011-11-03,10-Q
CY2011Q4,11.36,892584000,0,78555908,2013-02-26,10-K
CY2012Q1,12.22,962257000,0,78756319,2012-08-07,10-Q
CY2012Q2,12.0,951178000,0,79262828,2012-11-05,10-Q
CY2012Q3,12.88,1049852000,0,81526321,2012-11-05,10-Q
CY2012Q4,13.95,1140164000,0,81716416,2013-05-06,10-Q
CY2013Q1,14.54,1187785000,0,81706023,2013-05-06,10-Q
CY2014Q4,15.17,1265869000,0,83443141,2018-02-28,10-K
CY2015Q4,14.67,1146265000,0,78162765,2019-03-01,10-K
CY2016Q1,14.17,1085750000,0,76627231,2017-05-05,10-Q
CY2016Q2,14.2,1092603000,0,76935053,2017-08-04,10-Q
CY2016Q3,14.74,1130130000,0,76682333,2017-11-07,10-Q
CY2016Q4,14.96,1149428000,0,76834663,2020-03-02,10-K
CY2017Q1,15.13,1165771000,0,77038725,2018-05-08,10-Q
CY2017Q2,15.29,1179424000,0,77116875,2018-08-08,10-Q
CY2017Q3,15.67,1208640000,0,77122687,2018-11-08,10-Q
CY2017Q4,15.83,1212287000,0,76599972,2021-02-26,10-K
CY2018Q1,16.11,1219983000,0,75742719,2019-08-08,10-Q
CY2018Q3,16.42,1361327000,0,82930281,2019-11-08,10-Q
CY2018Q4,11.79,1348794000,0,114353036,2022-02-25,10-K
CY2019Q1,16.0,1549927000,0,96866464,2020-08-07,10-Q
CY2019Q2,16.01,1564032000,0,97715021,2020-11-06,10-Q
CY2019Q3,15.92,1785059000,0,112101731,2020-11-06,10-Q
CY2019Q4,15.98,1827231000,0,114353036,2023-03-01,10-K
CY2020Q2,8.15,936576000,0,114940197,2021-11-04,10-Q
CY2020Q3,9.41,1053464000,0,111904322,2021-11-04,10-Q
CY2020Q4,9.91,1110899000,0,112090006,2024-02-29,10-K
CY2021Q1,10.76,1215575000,0,112998732,2022-08-05,10-Q
CY2021Q2,11.46,1295142000,0,113052780,2022-11-07,10-Q
CY2021Q3,12.0,1375823000,0,114661762,2022-11-07,10-Q
CY2021Q4,12.06,1386087000,0,114892309,2025-03-03,10-K
CY2022Q1,12.01,1445266000,0,120289243,2023-08-07,10-Q
CY2022Q2,10.78,1258091000,0,116753174,2023-11-07,10-Q
CY2022Q3,10.18,1154242000,0,113343014,2023-11-07,10-Q
CY2022Q4,9.55,1083985000,0,113484675,2026-02-27,10-K
CY2023Q1,9.4,1137680000,66923000,113864456,2024-08-07,10-Q
CY2023Q2,9.26,1124138000,66923000,114177992,2024-11-07,10-Q
CY2023Q3,8.77,1105799000,66923000,118503762,2024-11-07,10-Q
CY2023Q4,8.64,1202693000,66948000,131485661,2026-02-27,10-K
CY2024Q1,8.78,1224163000,66948000,131870835,2025-08-08,10-Q
CY2024Q2,8.73,1220738000,66948000,132215757,2025-11-07,10-Q
CY2024Q3,8.74,1223000000,66948000,132237436,2025-11-07,10-Q
CY2024Q4,8.46,1187863000,66948000,132519579,2026-05-07,10-Q
CY2025Q1,8.39,1183494000,66948000,133005314,2026-05-07,10-Q
CY2025Q2,7.49,1053463000,66948000,131679516,2025-11-07,10-Q
CY2025Q3,7.35,999014000,66948000,126752703,2025-11-07,10-Q
CY2025Q4,7.36,982616000,66948000,124459837,2026-05-07,10-Q
CY2026Q1,7.12,956711000,66948000,125015499,2026-05-07,10-Q
