quarter,debt_to_equity,total_liabilities,stockholders_equity,filed,form
CY2009Q4,4.39,4263559000,971721000,2012-02-27,10-K
CY2010Q2,4.26,4217057000,990535000,2010-08-06,10-Q/A
CY2010Q3,4.07,4135357000,1015672000,2010-11-04,10-Q
CY2010Q4,3.82,4068096000,1064753000,2013-02-26,10-K
CY2011Q1,3.91,4201455000,1074811000,2012-05-08,10-Q
CY2011Q2,4.04,4138372000,1024510000,2011-11-03,10-Q
CY2011Q3,4.79,4595388000,958945000,2011-11-03,10-Q
CY2011Q4,5.43,4850714000,892584000,2013-02-26,10-K
CY2012Q1,4.58,4409830000,962257000,2012-08-07,10-Q
CY2012Q2,4.52,4295121000,951178000,2012-11-05,10-Q
CY2012Q3,4.05,4247003000,1049852000,2012-11-05,10-Q
CY2012Q4,2.9,3303934000,1140164000,2013-05-06,10-Q
CY2013Q1,3.04,3609243000,1187785000,2013-05-06,10-Q
CY2014Q4,3.68,4662825000,1265869000,2018-02-28,10-K
CY2015Q4,4.43,5073782000,1146265000,2019-03-01,10-K
CY2016Q1,4.27,4641130000,1085750000,2017-05-05,10-Q
CY2016Q2,4.4,4804989000,1092603000,2017-08-04,10-Q
CY2016Q3,4.2,4742489000,1130130000,2017-11-07,10-Q
CY2016Q4,3.77,4334049000,1149428000,2020-03-02,10-K
CY2017Q1,3.47,4048520000,1165771000,2018-05-08,10-Q
CY2017Q2,3.8,4476058000,1179424000,2018-08-08,10-Q
CY2017Q3,4.07,4922059000,1208640000,2018-11-08,10-Q
CY2017Q4,4.81,5827535000,1212287000,2021-02-26,10-K
CY2018Q1,4.74,5779590000,1219983000,2019-08-08,10-Q
CY2018Q2,5.11,6283596000,1228955000,2019-11-08,10-Q
CY2018Q3,5.71,7778308000,1361327000,2019-11-08,10-Q
CY2018Q4,7.85,10588612000,1348794000,2022-02-25,10-K
CY2019Q1,6.87,10643432000,1549927000,2020-08-07,10-Q
CY2019Q2,7.86,12287554000,1564032000,2020-11-06,10-Q
CY2019Q3,7.67,13691224000,1785059000,2020-11-06,10-Q
CY2019Q4,8.85,16168209000,1827231000,2023-03-01,10-K
CY2020Q1,15.96,11575588000,725202000,2021-08-04,10-Q
CY2020Q2,10.06,9424966000,936576000,2021-11-04,10-Q
CY2020Q3,8.87,9348948000,1053464000,2021-11-04,10-Q
CY2020Q4,8.32,9244167000,1110899000,2024-02-29,10-K
CY2021Q1,7.96,9681273000,1215575000,2022-08-05,10-Q
CY2021Q2,8.26,10701249000,1295142000,2022-11-07,10-Q
CY2021Q3,8.5,11696891000,1375823000,2022-11-07,10-Q
CY2021Q4,9.61,13320857000,1386087000,2025-03-03,10-K
CY2022Q1,8.86,12808026000,1445266000,2023-08-07,10-Q
CY2022Q2,10.03,12617445000,1258091000,2023-11-07,10-Q
CY2022Q3,10.39,11991705000,1154242000,2023-11-07,10-Q
CY2022Q4,11.02,11946914000,1083985000,2026-02-27,10-K
CY2023Q1,10.53,11983606000,1137680000,2024-08-07,10-Q
CY2023Q2,10.38,11672596000,1124138000,2024-11-07,10-Q
CY2023Q3,10.78,11915339000,1105799000,2024-11-07,10-Q
CY2023Q4,11.06,13301634000,1202693000,2026-02-27,10-K
CY2024Q1,11.3,13833811000,1224163000,2025-08-08,10-Q
CY2024Q2,12.51,15270366000,1220738000,2025-11-07,10-Q
CY2024Q3,14.07,17204426000,1223000000,2025-11-07,10-Q
CY2024Q4,14.37,17070481000,1187863000,2026-05-07,10-Q
CY2025Q1,15.79,18688281000,1183494000,2026-05-07,10-Q
CY2025Q2,19.25,20279557000,1053463000,2025-11-07,10-Q
CY2025Q3,21.62,21601752000,999014000,2025-11-07,10-Q
CY2025Q4,23.12,22718498000,982616000,2026-05-07,10-Q
CY2026Q1,27.03,25859086000,956711000,2026-05-07,10-Q
