quarter,net_interest_income,source
CY2009Q2,35260000,reported
CY2009Q3,45545000,reported
CY2010Q1,40535000,reported
CY2010Q2,35406000,reported
CY2010Q3,35320000,reported
CY2010Q4,34129000,reported
CY2011Q1,32361000,reported
CY2011Q2,29322000,reported
CY2011Q3,29079000,reported
CY2011Q4,27380000,reported
CY2012Q1,28085000,reported
CY2012Q2,30642000,reported
CY2012Q3,31438000,reported
CY2012Q4,20426000,reported
CY2013Q1,35223000,reported
CY2013Q2,36303000,reported
CY2013Q3,35695000,reported
CY2013Q4,37964000,reported
CY2014Q1,36416000,reported
CY2014Q2,36842000,reported
CY2014Q3,40001000,reported
CY2014Q4,41348000,reported
CY2015Q1,39785000,reported
CY2015Q2,40365000,reported
CY2015Q3,39609000,reported
CY2015Q4,43790000,reported
CY2016Q1,38378000,reported
CY2016Q2,44343000,reported
CY2016Q3,39309000,reported
CY2016Q4,35797000,reported
CY2017Q1,33597000,reported
CY2017Q2,34990000,reported
CY2017Q3,35294000,reported
CY2017Q4,35360000,reported
CY2018Q1,35105000,reported
CY2018Q2,34763000,reported
CY2018Q3,35046000,reported
CY2018Q4,34764000,reported
CY2019Q1,31765000,reported
CY2019Q2,32322000,reported
CY2019Q3,33513000,reported
CY2019Q4,44873000,reported
CY2020Q1,51410000,reported
CY2020Q2,27280000,reported
CY2020Q3,21571000,reported
CY2020Q4,23650000,derived (Annual - Q1 - Q2 - Q3)
CY2021Q1,25753000,reported
CY2021Q2,30630000,reported
CY2021Q3,41968000,reported
CY2021Q4,49826000,derived (Annual - Q1 - Q2 - Q3)
CY2022Q1,53102000,reported
CY2022Q2,40488000,reported
CY2022Q3,34935000,reported
CY2022Q4,26929000,derived (Annual - Q1 - Q2 - Q3)
CY2023Q1,26437000,reported
CY2023Q2,26096000,reported
CY2023Q3,20351000,reported
CY2023Q4,20059000,derived (Annual - Q1 - Q2 - Q3)
CY2024Q1,24210000,reported
CY2024Q2,25293000,reported
CY2024Q3,25498000,reported
CY2024Q4,27607000,derived (Annual - Q1 - Q2 - Q3)
CY2025Q1,27942000,reported
CY2025Q2,13834000,reported
CY2025Q3,14994000,reported
CY2025Q4,25927000,derived (Annual - Q1 - Q2 - Q3)
CY2026Q1,34717000,reported
